sid,name,date,latitude,longitude,wind_speed,category
1851175N26270,UNNAMED,1851-06-25,27.50,-94.30,80,1
1851187N22262,UNNAMED,1851-07-05,22.20,-97.60,80,1
1851192N12300,UNNAMED,1851-07-10,12.00,-60.00,50,0
1851228N13313,UNNAMED,1851-08-23,27.40,-86.40,100,3
1851256N33287,UNNAMED,1851-09-13,32.50,-73.50,50,0
1851289N29282,UNNAMED,1851-10-17,30.70,-76.60,60,0
1852232N21293,UNNAMED,1852-08-24,26.10,-85.70,100,3
1852247N14309,UNNAMED,1852-09-09,25.10,-85.30,70,1
1852249N17296,UNNAMED,1852-09-05,17.00,-64.10,70,1
1852264N13309,UNNAMED,1852-09-25,19.60,-66.70,80,1
1852278N14293,UNNAMED,1852-10-06,17.20,-75.90,90,2
1853216N26294,UNNAMED,1853-08-05,33.30,-69.20,50,0
1853223N12300,UNNAMED,1853-08-10,12.00,-60.00,40,0
1853242N12336,UNNAMED,1853-09-03,18.60,-54.50,130,4
1853251N37307,UNNAMED,1853-09-08,37.00,-53.00,100,3
1853264N20268,UNNAMED,1853-09-21,20.30,-94.70,50,0
1853269N26298,UNNAMED,1853-09-27,36.00,-59.80,70,1
1853270N14327,UNNAMED,1853-09-28,15.60,-37.00,50,0
1853291N32280,UNNAMED,1853-10-20,29.80,-80.20,90,2
1854176N26268,UNNAMED,1854-06-25,25.60,-93.40,70,1
1854236N33305,UNNAMED,1854-08-23,33.00,-55.00,60,0
1854246N25300,UNNAMED,1854-09-07,27.40,-76.60,110,3
1854259N24266,UNNAMED,1854-09-18,27.80,-95.50,90,2
1854293N25292,UNNAMED,1854-10-21,28.60,-67.30,60,0
1855219N22262,UNNAMED,1855-08-06,22.20,-98.00,90,2
1855222N44318,UNNAMED,1855-08-10,44.00,-42.00,90,2
1855224N13277,UNNAMED,1855-08-11,12.50,-83.00,70,1
1855236N12304,UNNAMED,1855-08-25,13.10,-60.20,60,0
1855252N20274,UNNAMED,1855-09-16,29.00,-89.30,110,3
1856221N25277,UNNAMED,1856-08-10,28.70,-90.50,130,4
1856226N11308,UNNAMED,1856-08-13,11.60,-55.10,70,1
1856232N33285,UNNAMED,1856-08-19,32.50,-75.50,50,0
1856235N13302,UNNAMED,1856-08-30,25.50,-87.20,100,3
1856235N23278,UNNAMED,1856-08-21,23.00,-82.50,50,0
1856254N09333,UNNAMED,1856-09-19,35.60,-51.00,70,1
1857181N34286,UNNAMED,1857-06-30,34.00,-74.50,50,0
1857249N27286,UNNAMED,1857-09-11,30.90,-76.20,90,2
1857265N33287,UNNAMED,1857-09-22,32.50,-73.50,70,1
1857267N16305,UNNAMED,1857-09-28,19.00,-82.90,90,2
1858162N17283,UNNAMED,1858-06-12,19.30,-85.00,70,1
1858218N45320,UNNAMED,1858-08-05,45.00,-40.00,70,1
1858254N21273,UNNAMED,1858-09-15,32.60,-78.00,90,2
1858260N18319,UNNAMED,1858-09-17,18.40,-41.40,80,1
1858266N22286,UNNAMED,1858-09-24,33.30,-73.80,80,1
1858291N21287,UNNAMED,1858-10-24,31.00,-66.00,90,2
1859183N22263,UNNAMED,1859-07-01,21.50,-97.50,90,2
1859224N28287,UNNAMED,1859-08-17,38.40,-67.20,90,2
1859245N17300,UNNAMED,1859-09-02,17.30,-59.70,70,1
1859249N11324,UNNAMED,1859-09-12,36.20,-56.60,90,2
1859253N21275,UNNAMED,1859-09-15,28.80,-88.40,70,1
1859273N17289,UNNAMED,1859-10-04,28.80,-72.00,110,3
1859289N25285,UNNAMED,1859-10-16,25.10,-75.10,60,0
1859297N20267,UNNAMED,1859-10-26,22.00,-92.50,80,1
1860221N28276,UNNAMED,1860-08-11,28.50,-90.00,110,3
1860237N28283,UNNAMED,1860-08-25,35.80,-72.10,90,2
1860247N13298,UNNAMED,1860-09-11,40.00,-51.00,70,1
1860252N18284,UNNAMED,1860-09-11,24.60,-83.50,90,2
1860262N22294,UNNAMED,1860-09-19,26.00,-70.00,60,0
1860269N20266,UNNAMED,1860-10-02,28.10,-91.70,90,2
1860289N14290,UNNAMED,1860-10-23,31.00,-72.60,90,2
1861185N15303,UNNAMED,1861-07-10,29.10,-70.80,90,2
1861226N21290,UNNAMED,1861-08-15,23.20,-78.70,80,1
1861237N35296,UNNAMED,1861-08-29,41.50,-45.50,90,2
1861261N29310,UNNAMED,1861-09-17,28.50,-50.00,70,1
1861270N29283,UNNAMED,1861-09-27,28.50,-77.50,70,1
1861279N20314,UNNAMED,1861-10-06,20.00,-46.00,60,0
1861281N35285,UNNAMED,1861-10-07,35.30,-75.30,50,0
1861305N26278,UNNAMED,1861-11-02,31.20,-78.60,70,1
1862166N32284,UNNAMED,1862-06-15,32.00,-75.60,50,0
1862229N24294,UNNAMED,1862-08-18,28.70,-70.70,90,2
1862251N15325,UNNAMED,1862-09-15,26.70,-69.00,90,2
1862279N13299,UNNAMED,1862-10-06,13.00,-61.00,50,0
1862287N33290,UNNAMED,1862-10-14,33.00,-69.60,70,1
1862326N11280,UNNAMED,1862-11-22,10.50,-79.70,60,0
1863220N38309,UNNAMED,1863-08-08,37.70,-50.80,90,2
1863230N39302,UNNAMED,1863-08-18,39.40,-58.50,90,2
1863231N27293,UNNAMED,1863-08-20,30.50,-72.60,90,2
1863239N31281,UNNAMED,1863-08-27,30.70,-77.30,90,2
1863248N11308,UNNAMED,1863-09-09,21.30,-62.30,70,1
1863255N15300,UNNAMED,1863-09-17,28.80,-80.90,60,0
1863262N23264,UNNAMED,1863-09-18,22.50,-96.50,50,0
1863270N21267,UNNAMED,1863-09-29,28.60,-94.80,60,0
1863270N31290,UNNAMED,1863-09-26,31.10,-70.10,50,0
1864197N35285,UNNAMED,1864-07-16,33.70,-74.50,70,1
1864208N24271,UNNAMED,1864-07-25,24.00,-89.00,60,0
1864239N15306,UNNAMED,1864-08-26,14.80,-54.50,70,1
1864249N33288,UNNAMED,1864-09-05,33.00,-72.50,50,0
1864296N29288,UNNAMED,1864-10-23,35.50,-72.50,70,1
1865150N13280,UNNAMED,1865-05-30,13.00,-80.00,50,0
1865182N26263,UNNAMED,1865-06-30,26.00,-97.50,50,0
1865232N30282,UNNAMED,1865-08-22,34.00,-75.00,60,0
1865247N13318,UNNAMED,1865-09-06,15.10,-55.20,90,2
1865250N30268,UNNAMED,1865-09-07,29.70,-92.00,60,0
1865267N20287,UNNAMED,1865-09-28,25.60,-69.60,70,1
1865287N11303,UNNAMED,1865-10-22,20.10,-83.50,90,2
1866193N27271,UNNAMED,1866-07-11,27.20,-88.80,90,2
1866225N14298,UNNAMED,1866-08-13,14.50,-61.90,90,2
1866247N33292,UNNAMED,1866-09-04,33.00,-68.10,70,1
1866260N12333,UNNAMED,1866-09-18,14.80,-28.50,70,1
1866263N36292,UNNAMED,1866-09-22,40.20,-63.20,90,2
1866264N11342,UNNAMED,1866-10-01,22.50,-74.40,120,4
1866302N33285,UNNAMED,1866-10-29,34.30,-74.80,60,0
1867172N28280,UNNAMED,1867-06-22,31.80,-80.00,70,1
1867209N18303,UNNAMED,1867-08-01,32.10,-76.30,90,2
1867215N14283,UNNAMED,1867-08-02,14.00,-77.00,90,2
1867243N31288,UNNAMED,1867-08-31,30.80,-71.60,70,1
1867247N12340,UNNAMED,1867-09-08,17.70,-58.70,50,0
1867268N18278,UNNAMED,1867-10-02,24.70,-96.70,90,2
1867272N30286,UNNAMED,1867-09-30,35.00,-73.60,90,2
1867283N18297,UNNAMED,1867-10-09,17.50,-62.80,40,0
1867300N19310,UNNAMED,1867-10-29,18.60,-63.30,110,3
1868240N16327,UNNAMED,1868-09-06,39.20,-64.70,90,2
1868275N27265,UNNAMED,1868-10-07,43.80,-57.80,70,-4
1868278N14280,UNNAMED,1868-10-05,16.70,-80.70,90,2
1868289N26287,UNNAMED,1868-10-17,33.50,-70.60,90,2
1869224N41313,UNNAMED,1869-08-12,40.50,-47.50,90,2
1869226N20276,UNNAMED,1869-08-16,26.30,-91.30,90,2
1869239N33313,UNNAMED,1869-08-27,32.70,-46.70,70,1
1869244N28287,UNNAMED,1869-09-02,30.30,-69.00,60,0
1869245N20288,UNNAMED,1869-09-08,31.80,-74.20,100,3
1869247N26271,UNNAMED,1869-09-04,26.30,-89.10,70,1
1869253N10328,UNNAMED,1869-09-12,14.00,-46.40,90,2
1869258N16317,UNNAMED,1869-09-14,16.00,-43.00,60,0
1869270N18308,UNNAMED,1869-10-04,31.80,-75.30,90,2
1869275N17293,UNNAMED,1869-10-01,17.00,-67.50,50,0
1870211N28272,UNNAMED,1870-07-30,30.90,-88.10,70,1
1870238N14310,UNNAMED,1870-09-02,30.80,-68.90,90,2
1870242N13338,UNNAMED,1870-09-11,34.60,-63.30,110,3
1870260N30292,UNNAMED,1870-09-17,30.20,-68.10,80,1
1870278N18286,UNNAMED,1870-10-07,22.10,-81.80,100,3
1870280N10331,UNNAMED,1870-10-07,12.00,-35.00,70,1
1870290N15279,UNNAMED,1870-10-19,19.20,-85.00,90,2
1870296N20288,UNNAMED,1870-10-23,21.00,-72.00,90,2
1870300N14283,UNNAMED,1870-10-31,18.30,-85.80,70,1
1871152N24279,UNNAMED,1871-06-02,25.20,-85.40,50,0
1871224N26291,UNNAMED,1871-08-15,26.90,-76.60,100,3
1871229N11329,UNNAMED,1871-08-21,16.40,-59.70,100,3
1871239N24298,UNNAMED,1871-08-30,27.00,-66.10,90,2
1871247N28277,UNNAMED,1871-09-05,26.70,-86.40,70,1
1871271N19269,UNNAMED,1871-10-02,25.90,-95.50,70,1
1871283N23302,UNNAMED,1871-10-10,22.70,-58.00,70,1
1872191N25268,UNNAMED,1872-07-10,26.60,-90.50,50,0
1872233N14334,UNNAMED,1872-08-29,27.60,-61.30,90,2
1872253N13301,UNNAMED,1872-09-12,21.70,-63.90,70,1
1872274N13328,UNNAMED,1872-10-03,22.00,-43.80,70,1
1872296N23271,UNNAMED,1872-10-24,32.40,-77.80,70,1
1873152N24281,UNNAMED,1873-06-01,24.20,-78.80,40,0
1873225N14335,UNNAMED,1873-08-23,34.30,-67.80,100,3
1873256N13296,UNNAMED,1873-09-18,23.20,-87.50,70,1
1873265N22274,UNNAMED,1873-09-23,26.00,-84.10,50,0
1873269N13303,UNNAMED,1873-09-28,18.00,-72.80,100,3
1874183N26275,UNNAMED,1874-07-03,27.40,-88.30,50,0
1874215N25306,UNNAMED,1874-08-05,33.50,-60.30,70,1
1874241N14326,UNNAMED,1874-09-06,32.90,-66.00,80,1
1874245N20265,UNNAMED,1874-09-04,23.90,-97.10,50,0
1874251N26289,UNNAMED,1874-09-08,25.80,-70.60,50,0
1874268N18274,UNNAMED,1874-09-28,32.70,-80.30,80,1
1874304N14283,UNNAMED,1874-11-02,17.70,-77.10,90,2
1875228N31284,UNNAMED,1875-08-16,30.80,-75.00,70,1
1875243N14330,UNNAMED,1875-09-03,14.40,-47.80,70,1
1875246N12333,UNNAMED,1875-09-16,27.20,-95.60,100,3
1875267N23267,UNNAMED,1875-09-25,26.30,-95.10,50,0
1875280N24292,UNNAMED,1875-10-08,26.50,-69.40,90,2
1875285N27285,UNNAMED,1875-10-14,31.90,-74.80,70,1
1876253N39299,UNNAMED,1876-09-09,39.00,-60.80,80,1
1876254N15320,UNNAMED,1876-09-13,17.80,-62.90,100,3
1876260N19302,UNNAMED,1876-09-16,19.00,-57.80,50,0
1876273N14301,UNNAMED,1876-10-03,12.80,-80.70,90,2
1876285N11279,UNNAMED,1876-10-19,21.80,-82.40,100,3
